scope,clf,f1@0,f1@0.10,f1@0.25,f1@0.50,delta_f1_at_0.25,sigma_at_10pct_drop
within:pd,rf,0.820142,0.7803137,0.7891301333333334,0.7542195333333332,0.031011866666666665,
within:pd,knn,0.760883,0.7590917666666667,0.7522310333333332,0.7285374,0.008651966666666788,
within:pd,svm,0.809795,0.8075518666666668,0.8038579333333331,0.7775531333333333,0.005937066666666935,
within:pd,dt,0.821787,0.7805408333333331,0.7922823999999999,0.7671793000000001,0.029504600000000103,
within:pd,qda,0.739148,0.7437549000000001,0.6836287666666667,0.5637077333333333,0.05551923333333331,0.5
within:pd,xgb,0.81098,0.7967653666666668,0.7996087000000001,0.7548388333333332,0.011371299999999973,
within:pd,lgbm,0.81861,0.7675028666666665,0.7756507666666669,0.7364600333333335,0.04295923333333307,0.5
within:hd,rf,0.90527,0.8714458333333331,0.7620131333333333,0.6321917666666668,0.1432568666666667,0.2
within:hd,knn,0.810429,0.8171050999999999,0.7934435666666667,0.7433999666666669,0.016985433333333244,
within:hd,svm,0.868997,0.8506006333333331,0.8083033666666667,0.7387777666666666,0.06069363333333333,0.5
within:hd,dt,0.90527,0.8602575666666666,0.7612719666666669,0.6385855666666668,0.14399803333333316,0.2
within:hd,qda,0.764766,0.7604297999999999,0.6876981000000001,0.5282355999999999,0.07706789999999986,0.25
within:hd,xgb,0.956214,0.8700420666666666,0.7715506666666667,0.6769484000000001,0.1846633333333333,0.15
within:hd,lgbm,0.862585,0.8513504999999999,0.7631934666666667,0.6373513000000002,0.09939153333333339,0.25
within:als,rf,0.75009,0.7517874666666666,0.7515961333333333,0.7149298999999999,-0.0015061333333332705,
within:als,knn,0.818955,0.8201539666666666,0.8190708666666668,0.8077635,-0.00011586666666685286,
within:als,svm,0.749321,0.7469297666666666,0.7412114000000002,0.7300528333333334,0.008109599999999828,
within:als,dt,0.756174,0.7493249666666667,0.7355992666666666,0.6626732000000002,0.020574733333333373,0.5
within:als,qda,0.820878,0.8130703666666667,0.7689302000000001,0.6284711000000001,0.05194779999999988,0.5
within:als,xgb,0.822641,0.8128534666666668,0.7667868999999999,0.6977148666666666,0.05585410000000002,0.5
within:als,lgbm,0.734387,0.7615138666666667,0.7537748000000001,0.7238750666666667,-0.019387800000000066,
